#This is a comment
#This is another comment
AREA,PERIMETER,USPORT2K_,USPORT2K_I,NAME,ADDRESS,CITY,STATE,ZIPCODE,OWNER,FUNCTION,BERTHS,LAT,LONG
0,0,2754,2226,WATTS BAR DAM,,WATTS BAR DAM,TN,37395, WATTS BAR STEAM PLANT,,9,35.615,-84.755
0,0,2768,2215,HALES POINT,,HALLS,TN,38040, CONTINENTAL GRAIN CO.,,1,35.878333,-89.398333
0,0,2771,2171,PERRYVILLE,,PARSONS,TN,38363, TEAGUE BROS. SAND + GRAV,,1,35.65,-88.125
0,0,2772,2170,PERRYVILLE,,PARSONS,TN,38363, TINKER SAND + GRAVEL CO,,1,35.65,-88.125
0,0,2773,2168,PERRYVILLE,,PARSONS,TN,38363, AMERICAN MATERIALS CO,,1,35.65,-88.125
0,0,2774,2169,PERRYVILLE,,PARSONS,TN,38363, HIWASSEE LAND CO,,0,35.65,-88.125
0,0,2775,2214,GOLD DUST,,RIPLEY,TN,38063, WEST TENNESSEE GRAIN TER,,1,35.743333,-89.531667
0,0,2783,2217,CALHOUN,,CALHOUN,TN,37309, HIWASSEE SAND CO.,,3,35.291667,-84.75
0,0,2784,2216,CALHOUN,,CALHOUN,TN,37309, BOWATERS SOUTHERN PAPER,,3,35.291667,-84.75
0,0,2785,2144,CHARLESTON,,CHARLESTON,TN,37310, OLIN CORPORATION,,4,35.29,-84.756667
0,0,2786,2145,CHARLESTON,,CHARLESTON,TN,37310, DIAMOND CRYSTAL SALT CO.,,4,35.29,-84.756667
0,0,2793,2193,SODDY-DAISY,,SODDY-DAISY,TN,37379, HIWASSEE LAND COMPANY,,1,35.255,-85.18
0,0,2894,2269,CLIFTON,,CLIFTON,TN,38425, DOWDY + LACHER INC,,2,35.385,-87.993333
0,0,2895,2192,CHATTANOOGA,,HARRISON,TN,37341, C.F. INDUSTRIES INC,,1,35.111667,-85.143333
0,0,2896,2183,CHATTANOOGA,,CHATTANOOGA,TN,37406, SEABOARD ALLIED MILLING,,3,35.071667,-85.261667
0,0,2897,2184,CHATTANOOGA,,CHATTANOOGA,TN,37406, CENTRAL SOYA CO INC,,6,35.071667,-85.261667
0,0,2898,2188,CHATTANOOGA,,CHATTANOOGA,TN,37405, AMOCO OIL CO,,2,35.065,-85.331667
0,0,2899,2189,CHATTANOOGA,,CHATTANOOGA,TN,37405, TEXACO INC,,3,35.065,-85.331667
0,0,2900,2177,CHATTANOOGA,,CHATTANOOGA,TN,37405, MID SOUTH TERMINALS,,5,35.065,-85.331667
0,0,2901,2185,CHATTANOOGA,,CHATTANOOGA,TN,37405, CARGILL INC,,6,35.065,-85.331667
0,0,2902,2187,CHATTANOOGA,,CHATTANOOGA,TN,37405, ROCK-TENN CO MILL DIVISI,,1,35.065,-85.331667
0,0,2903,2180,CHATTANOOGA,,CHATTANOOGA,TN,37401, SOUTHERN FOUNDRY SUPPLY,,2,35.046667,-85.311667
0,0,2904,2178,CHATTANOOGA,,CHATTANOOGA,TN,37401, GENERAL OILS INC,,1,35.046667,-85.311667
0,0,2905,2190,CHATTANOOGA,,CHATTANOOGA,TN,37401, CHATTA WAREHOUSE + COLD,,0,35.046667,-85.311667
0,0,2906,2191,CHATTANOOGA,,CHATTANOOGA,TN,37401, VOLUNTEER ARMY AMMO PLAN,,1,35.046667,-85.311667
0,0,2907,2181,CHATTANOOGA,,CHATTANOOGA,TN,37401, DIXIE PORTLAND FLOUR MIL,,3,35.046667,-85.311667
0,0,2908,2186,CHATTANOOGA,,CHATTANOOGA,TN,37401, TENN RIVER TERMINALS INC,,2,35.046667,-85.311667
0,0,2909,2176,CHATTANOOGA,,CHATTANOOGA,TN,37402, SIGNAL MTN CEMENT CO,,1,35.046667,-85.315
0,0,2910,2175,CHATTANOOGA,,CHATTANOOGA,TN,37402, ROHM + HAAS CO,,1,35.046667,-85.315
0,0,2911,2182,CHATTANOOGA,,CHATTANOOGA,TN,37402, DIXIE SAND + GRAVEL CORP,,4,35.046667,-85.315
0,0,2912,2179,CHATTANOOGA,,CHATTANOOGA,TN,37402, COMBUSTION ENGINEERING I,,2,35.046667,-85.315
0,0,2913,2220,JASPER,,JASPER,TN,37347, TENN. CONSOLIDATED COAL,,4,35.075,-85.626667
0,0,2914,2221,BENNETT LAKE,,BENNETT LAKE,TN,37347, GENERAL PORTLAND CEMENT,,7,35.075,-85.626667
0,0,2916,2219,GUILD,,GUILD,TN,37340, SERODINO INC.,,0,35.041667,-85.531667
0,0,2917,2218,SOUTH PITTSBURG,,SOUTH PITTSBURG,TN,37380, TENN. CONSOLIDATED COAL,,3,35.013333,-85.706667
0,0,2921,2259,MEMPHIS,,MEMPHIS,TN,38107, CONTINENTAL GRAIN CO.,,1,35.18,-90.043333
0,0,2922,2257,MEMPHIS,,MEMPHIS,TN,38107, BUNGE CORP,,1,35.18,-90.043333
0,0,2923,2258,MEMPHIS,,MEMPHIS,TN,38107, CARGILL INC.-MOLASSES DI,,1,35.18,-90.043333
