AREA|PERIMETER|USPORT2K_|USPORT2K_I|NAME|ADDRESS|CITY|STATE|ZIPCODE|OWNER|FUNCTION|BERTHS|LAT|LONG
0|0|2694|2207|KNOXVILLE, TN||KNOXVILLE|TN|37901|UNION OIL CO.||4|35.968333|-83.918333
0|0|2695|2204|KNOXVILLE, TN||KNOXVILLE|TN|37901|AMERICAN LIMESTONE CO. S||3|35.968333|-83.918333
0|0|2696|2203|KNOXVILLE, TN||KNOXVILLE|TN|37901|AMERICAN LIMESTONE CO CE||1|35.968333|-83.918333
0|0|2697|2146|ASHLAND CITY, TN||ASHLAND CITY|TN|37015|NASHVILLE BRIDGE CO.||0|36.275|-87.061667
0|0|2698|2210|KNOXVILLE, TN||KNOXVILLE|TN|37916|KNOXVILLE RIVER TERMINAL||1|35.951667|-83.933333
0|0|2699|2208|KNOXVILLE, TN||KNOXVILLE|TN|37920|VOLUNTEER ASPHALT CO.||1|35.946667|-83.898333
0|0|2700|2205|KNOXVILLE, TN||KNOXVILLE|TN|37920|TEXACO INC.||1|35.946667|-83.898333
0|0|2701|2152|NASHVILLE, TN||NASHVILLE|TN|37207|SOUTHERN STATES ASPHALT||0|36.233333|-86.766667
0|0|2702|2154|NASHVILLE, TN||NASHVILLE|TN|37207|TOSCO DOCK||0|36.233333|-86.766667
0|0|2703|2153|NASHVILLE, TN||NASHVILLE|TN|37207|LONE STAR INDUSTRIES||0|36.233333|-86.766667
0|0|2705|2163|NASHVILLE, TN||NASHVILLE|TN|37218|MARATHON OIL CO||2|36.193333|-86.833333
0|0|2706|2151|NASHVILLE, TN||NASHVILLE|TN|37208|EXXON CO USA||0|36.18|-86.808333
0|0|2707|2155|NASHVILLE, TN||NASHVILLE|TN|37208|CHEROKEE MARINE TERM-UPP||1|36.18|-86.808333
0|0|2708|2156|NASHVILLE, TN||NASHVILLE|TN|37208|CHEROKEE MARINE TERM-LOW||1|36.18|-86.808333
0|0|2709|2196|PARIS, TN||PARIS|TN|38242|TANK LINING INC.||1|36.303333|-88.323333
0|0|2710|2195|PARIS, TN||SPINKS|TN|38242|SPINKS CLAY CO||1|36.303333|-88.323333
0|0|2711|2161|NASHVILLE, TN||NASHVILLE|TN|37213|STEINER-LIFF IRON + META||1|36.17|-86.77
0|0|2712|2158|NASHVILLE, TN||NASHVILLE|TN|37213|ASHLAND OIL + REFINING C||0|36.17|-86.77
0|0|2713|2157|NASHVILLE, TN||NASHVILLE|TN|37213|CHEROKEE MARINE TERMINAL||0|36.17|-86.77
0|0|2714|2213|TIPTONVILLE, TN||TIPTONVILLE|TN|38079|WEST TENNESSEE GRAIN TER||1|36.378333|-89.475
0|0|2715|2231|HARRIMAN, TN||HARRIMAN|TN|37748|HARRIMAN PAPERBOARD CORP||1|35.936667|-84.55
0|0|2716|2229|HARRIMAN, TN||HARRIMAN|TN|37748|HIWASSEE LAND CO.||1|35.936667|-84.55
0|0|2717|2230|HARRIMAN, TN||HARRIMAN|TN|37748|HARRIMAN TRANSFER CO.||1|35.936667|-84.55
0|0|2718|2150|NASHVILLE, TN||NASHVILLE|TN|37202|GULF REFINING CO||0|36.158333|-86.785
0|0|2719|2164|NASHVILLE, TN||NASHVILLE|TN|37202|M COHEN IRON + METAL CO||2|36.158333|-86.785
0|0|2720|2166|NASHVILLE, TN||NASHVILLE|TN|37202|MIDSOUTH WIRE CO||1|36.158333|-86.785
0|0|2721|2160|NASHVILLE, TN||NASHVILLE|TN|37203|INGRAM MATERIALS||0|36.158333|-86.785
0|0|2722|2159|NASHVILLE, TN||NASHVILLE|TN|37202|NASHVILLE BRIDGE CO||0|36.158333|-86.785
0|0|2723|2165|NASHVILLE, TN||NASHVILLE|TN|37210|DUNDEE CEMENT CO||0|36.15|-86.763333
0|0|2724|2162|NASHVILLE, TN||NASHVILLE|TN|37210|TRIANGLE REFINERIES||0|36.15|-86.763333
0|0|2725|2147|NASHVILLE, TN||NASHVILLE|TN|37209|HAILEY:S HARBOR RIVER TR||0|36.158333|-86.866667
0|0|2726|2149|NASHVILLE, TN||NASHVILLE|TN|37209|MISSOURI PORTLAND CEMENT||0|36.158333|-86.866667
0|0|2727|2148|NASHVILLE, TN||NASHVILLE|TN|37209|USS AGRI-CHEMICALS INC||0|36.158333|-86.866667
0|0|2732|2228|ROCKWOOD, TN||ROCKWOOD|TN|37854|ROANE ELECTRIC CO.||1|35.865|-84.685
0|0|2736|2197|NEW JOHNSONVILLE, TN||WAVERLY|TN|37185|CONSOLIDATED ALUMINUM CO||2|36.085|-87.793333
