 1001153          0.0187001
 1001152          0.1072001
 1001158          0.0008001
 1001154          0.0043001
 1001151          0.0094001
 1001146          0.0548001
 1001141          0.0042001
 1001149          0.0009001
 1001148          0.0034001
 1001174          0.2874001
 1001209          0.0160001
 1001208          0.0134001
 1001230          0.0075001
 1001219          0.0604001
 1001202          0.0066001
 1001187          0.0313001
 1001176          0.0313001
 1001199          0.0209001
 1001188          0.0346001
 1001140          0.0484001
 1001 81          0.0431001
 1001 63          0.0089001
 1001 83          0.0029001
 1001 82          0.0017001
 1001 61          0.0015001
 1001 45          0.0065001
 1001 43          0.0015001
 1001 59          0.0552001
 1001 58          0.0012001
 1001 90          0.0256001
 1001131          0.0231001
 1001122          0.0006001
 1001138          0.0009001
 1001136          0.0010001
 1001114          0.0125001
 1001 99          0.0164001
 1001 96          0.0016001
 1001113          0.0081001
 1001110          0.0263001
 1003176          0.1165001
 1003174          0.0579001
 1003185          0.0020001
 1003188          0.2194001
 1003187          0.0081001
 1003158          0.0026001
 1003151          0.0185001
 1003148          0.0006001
 1003152          0.0681001
 1003154          0.0013001
 1003153          0.0021001
 1003226          0.0125001
 1003220          0.0012001
 1003228          0.0022001
 1003230          0.0159001
 1003229          0.0011001
 1003219          0.0281001
 1003199          0.0034001
 1003198          0.0002001
 1003200          0.0028001
 1003209          0.0053001
 1003208          0.0002001
 1003 81          0.0105001
 1003 79          0.0029001
 1003 82          0.0056001
 1003 90          0.0783001
 1003 83          0.0019001
 1003 78          0.0063001
 1003 53          0.0041001
 1003 43          0.0084001
 1003 58          0.0124001
 1003 63          0.0126001
 1003 59          0.0566001
 1003136          0.0017001
 1003132          0.0166001
 1003138          0.0083001
 1003146          0.0256001
 1003140          0.0128001
 1003131          0.0325001
 1003110          0.0927001
 1003 99          0.0255001
 1003113          0.0003001
 1003116          0.0101001
 1003114          0.0044001
 1005154          0.0398001
 1005153          0.0315001
 1005158          0.0035001
 1005176          0.0085001
 1005174          0.1648001
 1005152          0.1506001
 1005140          0.0193001
 1005138          0.0029001
 1005141          0.0026001
 1005148          0.0010001
 1005146          0.0359001
 1005209          0.0047001
 1005208          0.0116001
 1005219          0.1766001
 1005230          0.0104001
 1005220          0.0013001
 1005202          0.0063001
 1005188          0.0366001
 1005187          0.0855001
 1005189          0.0049001
 1005200          0.0010001
 1005199          0.0049001
 1005 61          0.0072001
 1005 59          0.0178001
 1005 63          0.0060001
 1005 81          0.0462001
 1005 79          0.0012001
 1005 58          0.0013001
 1005 44          0.0057001
 1005 43          0.0070001
 1005 45          0.0041001
 1005 52          0.0007001
 1005 46          0.0018001
 1005110          0.0114001
 1005109          0.0030001
 1005114          0.0120001
 1005135          0.0016001
 1005131          0.0083001
 1005 99          0.0257001
 1005 83          0.0030001
 1005 82          0.0058001
 1005 85          0.0078001
 1005 96          0.0008001
 1005 90          0.0170001
 1007151          0.0055001
 1007146          0.0620001
 1007152          0.0823001
 1007154          0.0013001
 1007153          0.0415001
 1007144          0.0025001
 1007131          0.0010001
 1007125          0.0008001
 1007135          0.0013001
 1007141          0.0073001
 1007140          0.0246001
 1007158          0.0018001
 1007209          0.0060001
 1007208          0.0268001
 1007219          0.0663001
 1007230          0.0188001
 1007229          0.0016001
 1007202          0.0087001
 1007176          0.0446001
 1007174          0.2799001
 1007187          0.0208001
 1007199          0.0053001
 1007193          0.0056001
 1007 63          0.0045001
 1007 61          0.0022001
 1007 77          0.0016001
 1007 79          0.0018001
 1007 78          0.0106001
 1007 59          0.0837001
 1007 44          0.0005001
 1007 43          0.0018001
 1007 45          0.0024001
 1007 47          0.0018001
 1007 46          0.0003001
 1007 81          0.0651001
 1007113          0.0096001
 1007110          0.0132001
 1007114          0.0265001
 1007123          0.0018001
 1007122          0.0062001
 1007109          0.0016001
 1007 83          0.0014001
 1007 82          0.0015001
 1007 85          0.0026001
 1007 99          0.0380001
 1007 90          0.0051001
 1009153          0.0544001
 1009152          0.0296001
 1009158          0.0043001
 1009154          0.0121001
 1009141          0.0157001
 1009140          0.0442001
 1009149          0.0103001
 1009146          0.0323001
 1009174          0.1738001
 1009219          0.0432001
 1009208          0.0489001
 1009230          0.0283001
 1009229          0.0058001
 1009193          0.0490001
 1009187          0.0360001
 1009202          0.0031001
 1009199          0.0104001
 1009135          0.0224001
 1009 78          0.0028001
 1009 63          0.0353001
 1009 83          0.0016001
 1009 81          0.1200001
 1009 45          0.0080001
 1009 43          0.0130001
 1009 61          0.0059001
 1009 59          0.0223001
 1009 85          0.0018001
 1009114          0.0021001
 1009113          0.0298001
 1009123          0.0079001
 1009122          0.0708001
 1009101          0.0006001
 1009 99          0.0321001
 1009110          0.0194001
 1009109          0.0028001
 1011153          0.0024001
 1011152          0.0908001
 1011155          0.0103001
 1011154          0.0277001
 1011149          0.0112001
 1011140          0.0206001
 1011138          0.0011001
 1011148          0.0077001
 1011146          0.0166001
 1011158          0.0068001
 1011219          0.1750001
 1011200          0.0014001
 1011230          0.0156001
 1011220          0.0026001
 1011199          0.0019001
 1011187          0.0654001
 1011174          0.3198001
 1011198          0.0005001
 1011188          0.0055001
 1011135          0.0014001
 1011 77          0.0006001
 1011 63          0.0429001
 1011 79          0.0034001
 1011 78          0.0079001
 1011 61          0.0039001
 1011 44          0.0044001
 1011 43          0.0115001
 1011 59          0.0093001
 1011 45          0.0005001
 1011 81          0.0401001
 1011109          0.0045001
 1011 99          0.0242001
 1011131          0.0011001
 1011110          0.0182001
 1011 96          0.0018001
 1011 85          0.0037001
 1011 83          0.0188001
 1011 95          0.0014001
 1011 90          0.0178001
 1013174          0.3919001
 1013158          0.0031001
 1013155          0.0009001
 1013188          0.0035001
 1013187          0.0388001
 1013176          0.0005001
 1013148          0.0043001
 1013146          0.0230001
 1013144          0.0028001
 1013153          0.0118001
 1013152          0.1250001
 1013149          0.0022001
 1013220          0.0013001
 1013219          0.1145001
 1013209          0.0005001
 1013230          0.0268001
 1013229          0.0247001
 1013226          0.0005001
 1013199          0.0099001
 1013198          0.0008001
 1013189          0.0071001
 1013208          0.0023001
 1013202          0.0021001
 1013200          0.0002001
 1013141          0.0012001
 1013 63          0.0131001
 1013 61          0.0050001
 1013 59          0.0250001
 1013 81          0.0170001
 1013 79          0.0063001
 1013 78          0.0019001
 1013 45          0.0058001
 1013 44          0.0004001
 1013 43          0.0051001
 1013 55          0.0029001
 1013 51          0.0019001
 1013 46          0.0014001
 1013110          0.0238001
 1013109          0.0053001
 1013 99          0.0203001
 1013140          0.0047001
 1013131          0.0074001
 1013125          0.0018001
 1013 85          0.0164001
 1013 83          0.0063001
 1013 82          0.0074001
